distrito,tipo_via,nombre_via,profesion,toponimo,categoria
1,calle peatonal,RITA LUNA,artes escénicas,antropónimo,mujer real
2,calle,ROCÍO,virgen,advocación mariana o insti. religiosas,mujer ficticia
10,avenida,ROCÍO JURADO,artes escénicas,antropónimo,mujer real
8,calle,ROMEO Y JULIETA,personaje femenino de la tragedia escrita por shakespeare,personaje de ficción,mujer ficticia
4,calle,RONDA CARLOTA,,,mujer desconocida
4,calle,ROSA,,,mujer desconocida
10,calle,ROSA GARCÍA ASCOT,artes escénicas,antropónimo,mujer real
4,calle,ROSA MARÍA,,,mujer desconocida
8,calle sin rótulo,ROSA SABATER,artes escénicas,antropónimo,mujer real
4,calle,ROSALIA,,,mujer desconocida
2,calle,ROSALÍA DE CASTRO,artes literarias,antropónimo,mujer real
9,calle,ROSALIND FRANKLIN,ciencias,antropónimo,mujer real
6,calle,ROSAMUNDA,nobleza,antropónimo,mujer real
6,calle peatonal con escaleras,ROSARIO GIL MONTES,artes literarias,antropónimo,mujer real
1,calle sin salida,ROSARITO,artes visuales,hipocorísticos apodos o pseudónimos,mujer real
4,calle,ROSAURA,,,mujer desconocida
4,calle,ROSITA,,,mujer desconocida
9,calle peatonal con escaleras,RUT,personaje bíblico,santas y religiosas,mujer real
1,calle semi peatonal,SANCHA DE LARA,nobleza,antropónimo,mujer real
7,calle,SANTA ÁGUEDA,santa,santas y religiosas,mujer real
9,camino sin asfaltar,SANTA ÁGUEDA,santa,santas y religiosas,mujer real
8,plaza,SANTA ÁNGELA DE LA CRUZ,santa,santas y religiosas,mujer real
7,glorieta,SANTA BÁRBARA,santa,santas y religiosas,mujer real
2,callejón,SANTA CATALINA,santa,santas y religiosas,mujer real
4,calle peatonal,SANTA CLARA,santa,santas y religiosas,mujer real
1,calle,SANTA CRISTINA,santa,santas y religiosas,mujer real
6,calle,SANTA ELENA,santa,santas y religiosas,mujer real
2,calle,SANTA GEMA,santa,santas y religiosas,mujer real
9,camino,SANTA INÉS,santa,santas y religiosas,mujer real
1,pasillo peatonal,SANTA ISABEL,santa,santas y religiosas,mujer real
7,pasaje peatonal sin salida,SANTA ISABEL,santa,santas y religiosas,mujer real
7,calle sin rótulo,SANTA JUSTA,santa,santas y religiosas,mujer real
1,calle peatonal,SANTA LEOCADIA,santa,santas y religiosas,mujer real
1,calle peatonal,SANTA LUCÍA,santa,santas y religiosas,mujer real
1,plaza,SANTA MARÍA,santa,santas y religiosas,mujer real
1,calle peatonal,SANTA MARÍA,santa,santas y religiosas,mujer real
6,jardín,SANTA MARÍA GORETTI,santa,santas y religiosas,mujer real
1,calle,SANTA MARÍA MICAELA,santa,santas y religiosas,mujer real
6,calle,SANTA MARTA,santa,santas y religiosas,mujer real
7,calle,SANTA MATILDE,santa,santas y religiosas,mujer real
2,camino,SANTA PAULA,santa,santas y religiosas,mujer real
3,calle,SANTA PAULA,santa,santas y religiosas,mujer real
6,carril,SANTA ROSA,santa,santas y religiosas,mujer real
6,avenida,SANTA ROSA DE LIMA,santa,santas y religiosas,mujer real
7,calle sin rótulo,SANTA RUFINA,santa,santas y religiosas,mujer real
6,calle,SANTA TERESA,santa,santas y religiosas,mujer real
4,calle,SARA,personaje bíblico,santas y religiosas,mujer real
4,pasaje sin salida,SARA,personaje bíblico,santas y religiosas,mujer real
10,calle,SELENITA,diosa griega,teónimos y mitología,mujer ficticia
2,calle,SEÑORA,,,mujer desconocida
2,calle,SIRENA,ser fabuloso marino,teónimos y mitología,mujer ficticia
3,calle,SOR JUANA INÉS DE LA CRUZ,religiosa y artes literarias,santas y religiosas,mujer real
2,calle,SOR LUCILA,"título de la obra de ortega munilla,",personaje de ficción,mujer ficticia
7,avenida cortada por un parque,SOR TERESA PRAT,religiosa,santas y religiosas,mujer real
2,calle,SUCESO LUENGO,educación,antropónimo,mujer real
7,calle semi peatonal,TERESA AZPIAZU Y PAUL,política y educación,antropónimo,mujer real
8,calle sin rótulo,TERESA BERGANZA,artes escénicas,antropónimo,mujer real
8,calle,TERESA BLASCO,educación,antropónimo,mujer real
8,calle sin rótulo,TERESA CARREÑO,artes escénicas,antropónimo,mujer real
4,calle,TRES HERMANAS,,,mujer desconocida
1,calle peatonal,TRINIDAD GRUND,esposa de,antropónimo,mujer real
3,calle,URGANDA,personaje de el quijote,personaje de ficción,mujer ficticia
1,calle,VICTORIA,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
1,plaza,VICTORIA,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
8,calle,VICTORIA DE LOS ÁNGELES,artes escénicas,antropónimo,mujer real
4,calle sin salida,VICTORIA KENT,artes literarias,antropónimo,mujer real
4,parque,VICTORIA KENT,artes literarias,antropónimo,mujer real
7,calle peatonal con acceso de escaleras,VICTORIA MÉRIDA Y PIRET,artes literarias,antropónimo,mujer real
8,avenida,VILLA ROSA,,,mujer desconocida
8,pasaje,VILLA ROSA,,,mujer desconocida
11,pasaje sin salida sin rótulo,VIOLETA FRIEDMAN,artes literarias,antropónimo,mujer real
2,callejón,VIRGEN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN BIEN APARECIDA,virgen,advocación mariana o insti. religiosas,mujer ficticia
7,pasaje,VIRGEN DE ÁFRICA,virgen,advocación mariana o insti. religiosas,mujer ficticia
11,parque,VIRGEN DE ARACELI,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE BEGOÑA,virgen,advocación mariana o insti. religiosas,mujer ficticia
7,avenida,VIRGEN DE BELÉN,virgen,advocación mariana o insti. religiosas,mujer ficticia
7,pasaje,VIRGEN DE BELÉN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE COVADONGA,virgen,advocación mariana o insti. religiosas,mujer ficticia
9,calle,VIRGEN DE FÁTIMA,virgen,advocación mariana o insti. religiosas,mujer ficticia
9,callejón,VIRGEN DE FÁTIMA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE FLORES,virgen,advocación mariana o insti. religiosas,mujer ficticia
1,calle,VIRGEN DE GRACIA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA CABEZA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA CANDELARIA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA CARIDAD,virgen,advocación mariana o insti. religiosas,mujer ficticia
1,plazuela,VIRGEN DE LA CONCEPCIÓN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA CONSOLACIÓN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA ESPERANZA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA ESTRELLA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA FUENSANTA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA PALMA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA PALOMA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA PAZ,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA PIEDAD,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA SALUD,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA SERVITA,virgen,advocación mariana o insti. religiosas,mujer ficticia
3,calle,VIRGEN DE LA SIERRA,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LA SOLEDAD,virgen,advocación mariana o insti. religiosas,mujer ficticia
10,parque,VIRGEN DE LAS CAÑAS,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LAS LÁGRIMAS,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LAS NIEVES,virgen,advocación mariana o insti. religiosas,mujer ficticia
1,plazuela,VIRGEN DE LAS PENAS,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LOS DOLORES,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DE LOS REMEDIOS,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL AMOR,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL AMPARO,virgen,advocación mariana o insti. religiosas,mujer ficticia
1,pasaje,VIRGEN DEL AUXILIO,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL BUEN CONSEJO,virgen,advocación mariana o insti. religiosas,mujer ficticia
9,calle,VIRGEN DEL CARMEN,virgen,advocación mariana o insti. religiosas,mujer ficticia
2,plaza,VIRGEN DEL CARMEN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL GRAN PODER,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL PERDÓN,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL PERPETUO SOCORRO,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL PILAR,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL ROCÍO,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL ROSARIO,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN DEL SAGRARIO,virgen,advocación mariana o insti. religiosas,mujer ficticia
6,calle,VIRGEN INMACULADA,virgen,advocación mariana o insti. religiosas,mujer ficticia
7,plaza,VIRGEN MEDIADORA,virgen,advocación mariana o insti. religiosas,mujer ficticia
2,carril,VIRGEN MILAGROSA,virgen,advocación mariana o insti. religiosas,mujer ficticia
2,plaza,VIRGEN MILAGROSA,virgen,advocación mariana o insti. religiosas,mujer ficticia
11,pasaje sin salida,VIRGINIA WOOLF,artes literarias,antropónimo,mujer real
1,calle,ZAMARRILLA,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
1,plaza,ZAMARRILLA,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
9,calle,ZULEMA,personaje de el quijote,personaje de ficción,mujer ficticia
